# Frame Contacts1 Contacts2
0 1 14
1 0 3
2 0 15
3 0 17
4 0 16
5 1 26
6 3 12
7 0 30
8 0 8
9 0 10
10 0 23
11 0 12
12 0 7
13 0 0
14 0 4
15 0 1
16 0 0
17 0 0
18 0 1
19 0 1
20 0 0
21 0 0
22 0 3
23 0 1
24 0 0
25 0 0
26 2 0
27 0 0
28 1 0
29 0 0
30 1 5
31 5 0
32 0 6
33 0 0
34 0 0
35 0 5
36 0 3
37 0 0
38 0 0
39 6 0
40 7 0
41 10 0
42 10 0
43 5 0
44 1 0
45 2 2
46 6 1
47 0 0
48 3 0
49 3 1
50 0 0
51 6 0
52 7 0
53 4 0
54 8 0
55 5 0
56 7 0
57 14 0
58 2 0
59 3 0
60 3 0
61 6 0
62 4 0
63 1 0
64 1 0
65 0 0
66 0 0
67 0 0
68 0 0
69 10 0
70 18 0
71 18 1
72 22 0
73 17 0
74 20 4
75 22 0
76 12 3
77 20 1
78 44 0
79 25 4
80 26 0
81 49 1
82 20 0
83 22 0
84 20 0
85 20 0
86 24 5
87 19 0
88 43 7
89 25 4
90 32 3
91 21 0
92 13 5
93 14 0
94 1 0
95 2 0
96 11 3
97 38 6
98 29 6
99 24 9
100 20 5
101 21 4
102 24 1
103 20 8
104 24 14
105 11 7
106 7 6
107 13 2
108 22 22
109 5 14
110 12 5
111 19 5
112 23 5
113 36 5
114 21 4
115 17 4
116 19 2
117 16 5
118 10 8
119 6 7
120 4 3
121 2 8
122 10 0
123 16 2
124 3 3
125 7 12
126 4 1
127 3 1
128 5 1
129 1 6
130 0 2
131 0 1
132 0 1
133 0 4
134 0 5
135 0 8
136 0 10
137 1 7
138 0 0
139 0 0
140 0 1
141 0 0
142 0 1
143 2 0
144 0 0
145 0 0
146 0 0
147 1 0
148 0 3
149 0 2
150 0 0
151 0 0
152 0 0
153 0 0
154 0 0
155 0 0
156 0 0
157 0 0
158 0 0
159 0 0
160 0 0
161 0 0
162 0 0
163 0 0
164 0 2
165 0 0
166 0 1
167 0 0
168 0 0
169 0 0
170 0 0
171 0 0
172 0 0
173 6 0
174 4 0
175 3 0
176 3 0
177 8 0
178 2 0
179 5 0
180 2 2
181 0 0
182 0 0
183 0 0
184 0 0
185 0 0
186 0 0
187 0 0
188 0 0
189 0 0
190 0 0
191 0 2
192 0 3
193 0 6
194 2 7
195 1 5
196 0 8
197 0 7
198 0 8
199 0 7
200 0 2
201 0 1
202 0 0
203 0 0
204 0 0
205 0 0
206 0 0
207 2 0
208 0 0
209 0 0
210 2 0
211 4 0
212 0 0
213 2 0
214 0 0
215 0 0
216 0 0
217 0 0
218 2 0
219 0 0
220 0 0
221 0 1
222 0 0
223 3 0
224 2 0
225 2 0
226 1 0
227 0 0
228 0 1
229 1 3
230 0 2
231 2 0
232 3 0
233 2 0
234 1 0
235 0 1
236 0 9
237 1 1
238 0 0
239 2 7
240 0 0
241 0 0
242 1 0
243 0 0
244 0 0
245 0 0
246 1 0
247 0 0
248 0 0
249 0 0
250 0 0
251 0 0
252 0 0
253 0 0
254 0 0
255 0 0
256 0 0
257 1 0
258 2 0
259 2 0
260 0 0
261 2 0
262 0 0
263 0 0
264 0 0
265 1 0
266 0 0
267 0 0
268 1 0
269 0 0
270 0 0
271 0 0
272 0 0
273 0 0
274 0 0
275 0 0
276 0 0
277 0 0
278 0 0
279 0 0
280 0 0
281 0 0
282 0 0
283 0 0
284 0 0
285 0 0
286 0 0
287 0 0
288 0 0
289 0 0
290 0 0
291 0 0
292 0 0
293 0 0
294 0 0
295 0 0
296 0 0
297 0 0
298 0 0
299 0 0
300 0 0
301 0 0
302 0 0
303 0 0
304 1 0
305 1 0
306 2 0
307 2 0
308 0 0
309 3 0
310 0 0
311 0 0
312 0 0
313 0 0
314 0 0
315 0 0
316 0 0
317 0 0
318 0 0
319 0 0
320 2 0
321 1 0
322 1 0
323 3 0
324 0 0
325 1 0
326 1 0
327 1 0
328 0 0
329 3 0
330 3 0
331 0 0
332 0 0
333 0 2
334 0 0
335 1 0
336 1 0
337 2 0
338 0 0
339 0 0
340 1 0
341 0 0
342 2 0
343 1 0
344 2 0
345 0 0
346 3 0
347 0 0
348 0 0
349 0 0
350 0 0
351 0 0
352 0 0
353 0 0
354 0 0
355 0 0
356 0 0
357 0 0
358 0 2
359 1 0
360 1 1
361 1 0
362 2 0
363 5 0
364 3 0
365 3 0
366 2 0
367 4 0
368 3 0
369 5 0
370 1 0
371 0 0
372 0 1
373 0 0
374 0 0
375 0 0
376 0 0
377 0 0
378 0 0
379 0 0
380 0 0
381 0 0
382 0 0
383 0 0
384 0 0
385 0 0
386 0 0
387 0 0
388 0 0
389 0 0
390 0 0
391 0 0
392 0 0
393 0 0
394 0 0
395 0 0
396 4 0
397 0 0
398 0 0
399 0 0
400 0 0
401 0 1
402 0 0
403 0 0
404 0 0
405 0 0
406 0 0
407 0 0
408 0 0
409 0 0
410 0 0
411 0 0
412 0 0
413 0 0
414 0 0
415 0 0
416 0 0
417 0 0
418 0 0
419 0 0
420 0 0
421 0 0
422 0 0
423 0 0
424 0 0
425 0 0
426 0 0
427 0 0
428 0 0
429 0 0
430 0 0
431 0 0
432 0 0
433 0 0
434 0 0
435 2 0
436 1 0
437 1 0
438 4 0
439 1 0
440 1 0
441 5 0
442 9 0
443 4 0
444 3 0
445 4 0
446 7 0
447 4 0
448 5 0
449 4 0
450 1 0
451 3 0
452 0 0
453 1 0
454 0 2
455 0 0
456 0 2
457 0 1
458 0 0
459 0 0
460 0 0
461 0 0
462 0 0
463 0 0
464 1 0
465 1 0
466 0 0
467 4 0
468 2 0
469 0 0
470 3 0
471 0 0
472 0 0
473 0 0
474 1 0
475 0 0
476 1 0
477 0 0
478 0 0
479 0 0
480 0 0
481 0 0
482 0 0
483 0 0
484 0 0
485 0 0
486 0 0
487 1 0
488 0 0
489 0 1
490 0 0
491 0 0
492 0 0
493 0 2
494 0 12
495 0 0
496 0 1
497 0 1
498 0 0
499 0 1
500 0 8
501 0 9
502 0 1
503 0 5
504 0 8
505 0 0
506 0 5
507 0 0
508 0 0
509 0 1
510 0 1
511 0 0
512 0 0
513 1 0
514 0 0
515 0 0
516 0 0
517 0 1
518 0 0
519 1 0
520 0 2
521 0 3
522 0 1
523 0 0
524 0 6
525 0 0
526 0 0
527 0 1
528 0 0
529 0 0
530 1 1
531 1 0
532 0 0
533 0 0
534 0 2
535 0 1
536 0 2
537 0 1
538 0 5
539 0 0
540 0 1
541 0 5
542 0 3
543 0 0
544 0 0
545 0 0
546 0 0
547 1 0
548 0 0
549 0 0
550 0 1
551 1 0
552 0 0
553 0 0
554 0 0
555 0 0
556 0 0
557 0 0
558 0 0
559 0 3
560 0 4
561 0 1
562 0 0
563 0 0
564 0 0
565 0 0
566 0 1
567 0 0
568 0 0
569 0 0
570 0 0
571 0 0
572 0 0
573 0 0
574 0 0
575 0 0
576 0 3
577 0 0
578 0 0
579 0 12
580 0 17
581 0 0
582 0 10
583 0 0
584 0 0
585 0 1
586 0 1
587 0 1
588 0 0
589 0 0
590 0 0
591 0 0
592 0 1
593 0 1
594 0 0
595 0 0
596 0 0
597 0 0
598 0 3
599 0 2
600 0 5
601 0 4
602 0 0
603 0 0
604 0 0
605 0 0
606 0 0
607 0 0
608 0 3
609 0 2
610 0 2
611 0 0
612 0 0
613 2 3
614 0 5
615 0 6
616 0 7
617 0 4
618 0 7
619 0 4
620 0 3
621 0 0
622 0 0
623 0 1
624 0 0
625 0 0
626 0 3
627 0 3
628 0 1
629 0 1
630 0 3
631 0 9
632 0 6
633 0 6
634 0 5
635 0 5
636 0 3
637 0 0
638 0 0
639 0 4
640 0 6
641 0 13
642 0 9
643 0 8
644 0 2
645 0 0
646 0 0
647 0 1
648 0 2
649 1 2
650 0 0
651 0 0
652 0 0
653 0 0
654 0 1
655 0 0
656 7 0
657 4 0
658 0 0
659 0 0
660 0 0
661 0 1
662 0 2
663 0 0
664 4 0
665 0 0
666 0 0
667 0 0
668 0 0
669 0 0
670 0 0
671 0 0
672 0 0
673 0 0
674 0 0
675 0 1
676 0 0
677 0 0
678 0 0
679 1 0
680 0 2
681 0 0
682 0 0
683 4 2
684 4 3
685 0 4
686 1 0
687 0 2
688 2 0
689 0 0
690 2 0
691 0 0
692 0 0
693 0 0
694 0 1
695 0 0
696 0 1
697 0 0
698 0 0
699 0 2
700 0 0
701 0 2
702 0 12
703 0 6
704 0 4
705 0 3
706 0 0
707 0 1
708 0 1
709 0 0
710 0 3
711 0 3
712 0 5
713 0 3
714 0 9
715 0 7
716 0 9
717 0 12
718 0 10
719 0 11
720 0 4
721 0 1
722 0 5
723 0 7
724 0 7
725 0 8
726 0 12
727 0 13
728 0 6
729 0 13
730 0 13
731 0 13
732 0 16
733 0 14
734 0 12
735 0 12
736 0 4
737 0 12
738 0 4
739 0 1
740 3 8
741 0 0
742 1 0
743 0 0
744 1 0
745 1 0
746 5 0
747 1 3
748 1 1
749 1 6
750 0 0
751 0 0
752 1 0
753 0 0
754 1 0
755 1 1
756 0 6
757 1 0
758 0 5
759 2 4
760 0 0
761 0 0
762 0 0
763 0 0
764 0 1
765 0 0
766 0 0
767 1 0
768 1 0
769 0 0
770 2 2
771 0 2
772 0 0
773 0 2
774 1 0
775 0 0
776 0 0
777 4 0
778 4 2
779 0 0
780 1 1
781 0 0
782 0 6
783 1 5
784 0 8
785 0 6
786 0 1
787 0 1
788 0 1
789 0 2
790 0 2
791 0 0
792 0 2
793 1 1
794 0 3
795 0 4
796 0 1
797 2 2
798 0 3
799 0 2
800 0 2
801 2 1
802 1 2
803 0 4
804 0 0
805 0 4
806 0 10
807 0 8
808 0 8
809 0 7
810 0 5
811 0 2
812 0 3
813 0 2
814 0 1
815 0 4
816 0 3
817 0 5
818 0 3
819 0 4
820 0 1
821 0 2
822 0 3
823 0 4
824 0 5
825 0 6
826 0 7
827 0 3
828 0 5
829 0 2
830 0 6
831 0 7
832 0 7
833 0 5
834 0 7
835 0 7
836 0 9
837 0 3
838 0 5
839 0 5
840 0 0
841 0 0
842 0 0
843 0 0
844 0 0
845 0 0
846 0 7
847 0 10
848 0 5
849 0 0
850 0 0
851 0 0
852 0 0
853 0 5
854 0 4
855 0 5
856 0 6
857 0 5
858 0 7
859 0 2
860 2 5
861 0 0
862 0 0
863 1 0
864 0 0
865 0 0
866 0 0
867 0 0
868 0 0
869 0 0
870 0 0
871 0 0
872 0 0
873 0 4
874 1 0
875 0 0
876 2 0
877 0 0
878 3 0
879 4 0
880 1 0
881 1 0
882 4 0
883 0 0
884 0 0
885 0 0
886 0 0
887 0 0
888 0 0
889 0 0
890 0 0
891 0 0
892 0 0
893 4 0
894 2 0
895 0 0
896 0 0
897 1 0
898 4 0
899 3 0
900 3 0
901 3 0
902 3 0
903 0 0
904 0 0
905 0 0
906 0 4
907 0 1
908 1 0
909 0 0
910 0 0
911 0 0
912 5 0
913 1 0
914 3 0
915 1 0
916 3 0
917 2 0
918 0 0
919 1 0
920 1 0
921 3 0
922 4 0
923 2 0
924 3 0
925 0 0
926 0 0
927 0 0
928 0 0
929 0 0
930 0 0
931 0 0
932 0 0
933 0 0
934 0 0
935 0 0
936 0 0
937 0 0
938 0 0
939 0 0
940 0 0
941 0 0
942 0 0
943 0 0
944 0 0
945 1 5
946 0 3
947 0 0
948 0 0
949 0 0
950 0 0
951 0 0
952 2 0
953 1 0
954 0 0
955 0 0
956 0 0
957 0 0
958 0 0
959 8 3
960 0 0
961 0 0
962 0 0
963 0 0
964 0 0
965 0 0
966 0 0
967 0 0
968 3 0
969 1 0
970 11 1
971 2 0
972 0 0
973 0 1
974 0 0
975 4 1
976 6 0
977 4 0
978 0 0
979 0 1
980 0 1
981 0 0
982 0 4
983 0 1
984 0 0
985 0 0
986 0 1
987 0 0
988 0 1
989 0 0
990 0 0
991 0 0
992 0 1
993 0 0
994 0 5
995 0 3
996 0 8
997 0 16
998 0 25
999 0 30
1000 0 27
1001 0 27
1002 0 26
1003 1 32
1004 1 42
1005 3 39
1006 1 34
1007 5 35
1008 0 36
1009 0 38
1010 0 29
1011 0 27
1012 0 16
1013 0 12
1014 0 11
1015 0 17
1016 0 26
1017 0 39
1018 0 47
1019 0 38
1020 0 35
1021 0 31
1022 0 29
1023 0 35
1024 0 47
1025 0 21
1026 0 22
1027 0 17
1028 0 26
1029 0 29
1030 0 35
1031 0 20
1032 0 30
1033 0 33
1034 0 5
1035 0 18
1036 0 10
1037 0 12
1038 0 14
1039 0 10
1040 0 4
1041 0 3
1042 0 1
1043 0 0
1044 0 0
1045 0 0
1046 0 8
1047 0 9
1048 0 12
1049 1 23
1050 0 0
1051 0 7
1052 0 7
1053 1 6
1054 1 3
1055 4 4
1056 3 0
1057 4 0
1058 4 1
1059 5 0
1060 4 0
1061 3 4
1062 1 1
1063 4 5
1064 4 1
1065 3 15
1066 1 14
1067 4 20
1068 3 8
1069 4 11
1070 3 16
1071 0 13
1072 0 9
1073 0 15
1074 0 18
1075 0 12
1076 0 14
1077 1 14
1078 0 19
1079 0 14
1080 0 18
1081 1 20
1082 4 17
1083 1 11
1084 1 15
1085 1 18
1086 0 10
1087 1 13
1088 0 13
1089 2 18
1090 0 25
1091 12 24
1092 8 18
1093 9 14
1094 5 17
1095 1 11
1096 0 5
1097 0 7
1098 0 15
1099 0 11
1100 0 14
1101 0 14
1102 0 20
1103 0 11
1104 0 13
1105 0 14
1106 0 7
1107 0 9
1108 0 12
1109 0 17
1110 0 14
1111 0 30
1112 0 14
1113 1 15
1114 0 6
1115 0 14
1116 0 15
1117 0 18
1118 4 5
1119 0 7
1120 0 0
1121 0 0
1122 0 0
1123 0 2
1124 0 0
1125 0 0
1126 0 0
1127 0 3
1128 0 4
1129 0 2
1130 0 3
1131 0 0
1132 0 4
1133 0 7
1134 0 14
1135 2 19
1136 0 7
1137 0 6
1138 0 3
1139 0 0
1140 0 0
1141 0 12
1142 0 9
1143 0 0
1144 0 13
1145 0 12
1146 0 15
1147 0 15
1148 0 10
1149 0 3
1150 0 2
1151 0 8
1152 0 11
1153 0 8
1154 0 6
1155 2 7
1156 0 11
1157 0 5
1158 0 9
1159 0 11
1160 0 18
1161 0 12
1162 0 17
1163 0 3
1164 0 0
1165 0 0
1166 0 2
1167 0 0
1168 1 2
1169 0 2
1170 0 1
1171 0 0
1172 0 0
1173 0 0
1174 0 1
1175 0 12
1176 0 2
1177 0 25
1178 0 48
1179 0 20
1180 0 30
1181 0 35
1182 0 33
1183 0 40
1184 0 33
1185 0 25
1186 0 20
1187 0 44
1188 0 47
1189 0 27
1190 0 26
1191 0 27
1192 5 31
1193 15 41
1194 23 40
1195 9 40
1196 12 33
1197 15 41
1198 16 48
1199 13 36
1200 5 53
1201 9 38
1202 7 31
1203 4 46
1204 3 40
1205 2 40
1206 6 51
1207 0 29
1208 1 44
1209 0 33
1210 0 42
1211 0 40
1212 0 37
1213 0 46
1214 0 52
1215 0 42
1216 13 48
1217 15 35
1218 11 40
1219 12 44
1220 17 32
1221 14 40
1222 11 43
1223 18 49
1224 16 45
1225 10 17
1226 15 31
1227 15 30
1228 14 34
1229 13 42
1230 9 26
1231 18 49
1232 4 35
1233 11 42
1234 11 40
1235 17 70
1236 19 62
1237 8 36
1238 16 12
1239 17 16
1240 10 26
1241 18 35
1242 21 41
1243 11 35
1244 1 39
1245 8 45
1246 4 26
1247 0 32
1248 0 27
1249 0 24
1250 0 32
1251 0 37
